percentage,concepts,secs
9.0,3,131.55
13.0,1,66.18
14.0,1,60.79
18.0,66,170.34
26.0,62,362.4
26.0,13,144.46
28.0,20,257.12
25.0,15,141.18
10.0,55,116.1
13.0,45,145.92
13.0,59,182.45
14.0,59,183.77
19.0,24,90.61
12.0,87,207.25
13.0,53,197.13
16.0,51,134.06
9.0,97,242.95
16.0,31,143.09
16.0,34,144.22
16.0,41,152.34
17.0,22,137.37
15.0,38,139.26
16.0,34,116.04
13.0,55,151.76
41.0,10,31.01
8.0,89,209.45
14.0,63,139.36
17.0,38,97.77
14.0,52,138.71
16.0,28,106.21
14.0,24,119.8
16.0,25,91.33
12.0,37,164.03
10.0,65,157.99
10.0,53,165.1
13.0,33,128.17
13.0,53,129.67
10.0,46,134.26
10.0,66,172.07
10.0,78,190.61
8.0,64,119.65
12.0,41,89.56
10.0,59,122.02
13.0,28,84.55
11.0,49,116.19
23.0,19,54.96
11.0,50,121.81
13.0,41,115.13
10.0,62,133.61
17.0,34,69.6
10.0,54,102.77
25.0,42,244.03
32.0,34,317.78
19.0,61,218.11
17.0,22,106.71
20.0,22,84.11
16.0,26,118.21
13.0,49,208.21
12.0,47,155.05
11.0,81,256.56
14.0,50,166.76
18.0,27,109.31
14.0,36,174.12
16.0,47,122.12
25.0,15,62.47
24.0,20,59.17
14.0,32,108.2
13.0,32,117.46
17.0,36,97.06
18.0,33,95.44
16.0,37,104.86
20.0,24,79.71
16.0,37,102.64
21.0,19,74.88
31.0,10,41.55
6.0,101,159.16
7.0,66,118.19
27.0,18,47.69
17.0,29,94.72
12.0,65,150.28
20.0,27,72.82
14.0,51,135.64
16.0,38,91.9
21.0,23,72.64
12.0,52,140.83
11.0,44,123.73
16.0,29,90.73
14.0,23,86.29
32.0,3,120.44
27.0,2,176.57
36.0,6,170.5
3.0,3,40.18
14.0,28,80.69
13.0,48,122.82
10.0,56,101.04
23.0,12,135.29
34.0,15,229.81
14.0,8,89.79
12.0,2,84.37
14.0,1,78.78
10.0,3,244.27
11.0,2,112.6
11.0,2,127.7
12.0,2,123.13
13.0,1,104.53
12.0,1,101.41
12.0,4,105.48
14.0,1,107.0
12.0,1,85.31
11.0,2,87.13
11.0,3,95.08
9.0,6,131.39
10.0,3,97.59
7.0,1,110.82
6.0,2,102.39
16.0,5,256.37
18.0,4,135.08
14.0,2,250.24
17.0,1,135.36
11.0,8,261.32
14.0,4,178.15
9.0,2,133.79
32.0,7,230.66
20.0,2,216.15
11.0,23,182.58
23.0,6,60.41
11.0,4,118.7
18.0,20,497.89
26.0,6,229.75
21.0,8,270.72
21.0,1,72.1
27.0,5,312.5
43.0,1,286.56
40.0,2,212.12
23.0,7,442.67
14.0,21,336.16
24.0,19,82.83
28.0,13,245.03
22.0,23,191.27
22.0,16,218.1
19.0,5,85.97
9.0,47,156.55
26.0,53,549.43
34.0,6,163.15
32.0,10,187.84
32.0,9,150.25
26.0,24,334.83
37.0,12,251.4
48.0,6,176.05
36.0,7,190.99
1.0,12,8.14
0.0,22,7.4
26.0,17,531.18
45.0,4,715.52
28.0,19,207.53
36.0,25,224.53
36.0,8,92.21
29.0,20,248.69
38.0,6,108.64
37.0,13,156.14
24.0,18,186.47
39.0,19,155.94
43.0,12,123.73
38.0,23,179.96
38.0,14,150.11
37.0,29,192.57
37.0,24,224.15
39.0,23,138.86
35.0,28,275.01
33.0,29,238.94
31.0,17,119.55
30.0,33,301.24
2.0,11,36.04
1.0,7,9.53
0.0,37,9.93
2.0,13,25.09
28.0,4,216.64
21.0,10,159.44
51.0,1,48.71
22.0,29,443.36
3.0,18,29.7
27.0,21,330.7
18.0,13,150.2
18.0,14,89.8
32.0,7,78.83
9.0,18,71.18
23.0,30,323.92
